id,title,assignee,author ,priority date,filing/creation date,publication date,grant date,result_link,figure_link
US-10440323-B2,Facilitating wide view video conferencing through a drone network ,Wellen Sham,Wellen Sham,2015-12-31,2018-3-20,2019-10-8,2019-10-8,https://patents.google.com/patent/US10440323B2/en,https://patentimages.storage.googleapis.com/85/35/dd/b9d86205c08e33/US10440323-20191008-D00000.png
US-2023341849-A1,"Deployment mechanism, communication and operation for a host-parasite drone system ",Skyfront Corp.,Troy Mestler,2020-4-15,2021-9-30,2023-10-26,,https://patents.google.com/patent/US20230341849A1/en,https://patentimages.storage.googleapis.com/23/ff/bd/63eaf2fa154fea/US20230341849A1-20231026-D00000.png
US-2016286128-A1,"Amphibious vtol super drone camera in a mobile case (phone case) with multiple aerial and aquatic flight modes for capturing panoramic virtual reality views, selfie and interactive video ",Dylan TX ZHOU,Dylan TX ZHOU,2002-10-1,2016-6-3,2016-9-29,,https://patents.google.com/patent/US20160286128A1/en,https://patentimages.storage.googleapis.com/da/37/58/43f42225588631/US20160286128A1-20160929-D00000.png
KR-102254491-B1,Automatic fly drone embedded with intelligent image analysis function ,(주)가시,"강우석, 정재훈, 박원규, 이수빈, 정승호, 정승현",2019-11-22,2020-5-9,2021-5-21,2021-5-21,https://patents.google.com/patent/KR102254491B1/en,https://patentimages.storage.googleapis.com/e7/4d/21/a2eee42f410bd8/112020047017319-pat00001.png
WO-2020209935-A3,Software defined drone network control system ,Northeastern University,"Tommaso MELODIA, Lorenzo BERTIZZOLO, Zhangyu GUAN, Salvatore D'ORO",2019-4-12,2020-2-12,2020-11-12,,https://patents.google.com/patent/WO2020209935A3/en,
US-10836508-B2,Camera drone ,"Jeffrey Paul Overall, Jeffrey Steven Spirk","Jeffrey Paul Overall, Jeffrey Steven Spirk",2018-2-16,2018-2-16,2020-11-17,2020-11-17,https://patents.google.com/patent/US10836508B2/en,https://patentimages.storage.googleapis.com/db/c5/13/59012c86b437de/US10836508-20201117-D00000.png
US-11084579-B2,Convertible biplane aircraft for capturing drones ,Textron Innovations Inc.,"Steven Ray Ivans, Jason Paul Hurst, Brent Chadwick Ross, John Richard McCullough, Paul K. Oldroyd",2016-7-1,2020-1-15,2021-8-10,2021-8-10,https://patents.google.com/patent/US11084579B2/en,https://patentimages.storage.googleapis.com/11/ab/9d/7a960a9dfc9d2b/US11084579-20210810-D00000.png
US-8214088-B2,Device for piloting a drone ,Parrot,Martin Lefebure,2008-11-27,2009-11-19,2012-7-3,2012-7-3,https://patents.google.com/patent/US8214088B2/en,https://patentimages.storage.googleapis.com/02/5e/6e/3e4286d9eecada/US08214088-20120703-D00000.png
CN-109074101-B,Imaging using multiple drones ,高通股份有限公司,"L·J·米什拉, J·G·科尔莱拖梅娜",2016-5-2,2017-2-17,2022-4-26,2022-4-26,https://patents.google.com/patent/CN109074101B/en,https://patentimages.storage.googleapis.com/86/93/57/b379e2ebdc3a11/HDA0001849332310000011.png
JP-6822790-B2,Automatic anti-frost system using drone ,日本ユニシス株式会社,"万智子 佐保田, 万智子 佐保田, 一広 佐藤, 一広 佐藤",2016-6-28,2016-6-28,2021-1-27,2021-1-27,https://patents.google.com/patent/JP6822790B2/en,https://patentimages.storage.googleapis.com/e3/6d/4a/975e6d5d75e678/0006822790-2.png
JP-5134469-B2,Drone system and its operation method ,三菱重工業株式会社,智 鈴木,2008-8-21,2008-8-21,2013-1-30,2013-1-30,https://patents.google.com/patent/JP5134469B2/en,https://patentimages.storage.googleapis.com/4b/e0/61/c98a681d77351a/0005134469-2.png
KR-102267615-B1,Mission Equipment Replaceable Drones and Common Platform Systems ,한국항공우주연구원,"박상현, 김준호, 한창환, 최선우, 김근택, 박무혁, 전향식, 송근웅, 김승범, 박상욱, 최석, 신희민, 박민순",2019-12-24,2019-12-24,2021-6-21,2021-6-21,https://patents.google.com/patent/KR102267615B1/en,https://patentimages.storage.googleapis.com/5c/e1/cd/c011cc318b16e5/112019133686304-pat00001.png
KR-101941643-B1,System and method for control of multi drone ,동국대학교 산학협력단,"조경은, 김준오, 치옥용",2016-10-6,2016-10-6,2019-1-23,2019-1-23,https://patents.google.com/patent/KR101941643B1/en,https://patentimages.storage.googleapis.com/b6/9f/45/bf56bb5df22d8b/112016096874623-pat00001.png
WO-2017020856-A1,Photographing device and method using drone to automatically track and photograph moving object ,普宙飞行器科技（深圳）有限公司,"黄立, 刘华斌, 王效杰, 顾兴",2015-8-5,2016-8-5,2017-2-9,,https://patents.google.com/patent/WO2017020856A1/en,https://patentimages.storage.googleapis.com/27/90/61/017c81b3f6865e/PCTCN2016093490-appb-300001.png
WO-2019103209-A1,Ocean monitoring drone ,수상에스티주식회사,이성종,2017-11-22,2017-11-27,2019-5-31,,https://patents.google.com/patent/WO2019103209A1/en,https://patentimages.storage.googleapis.com/5a/93/07/baa080a04a8ca5/PCTKR2017013592-appb-D000001.png
US-2021132626-A1,Robot and drone game system ,Carla R. Gillett,Carla R. Gillett,2018-5-31,2021-1-11,2021-5-6,,https://patents.google.com/patent/US20210132626A1/en,https://patentimages.storage.googleapis.com/d8/7c/ee/db1aadd1ca002a/US20210132626A1-20210506-D00000.png
US-11305889-B2,"System, method and software based medium for providing a safe and secure delivery platform for a drone including real time data communication incorporating any of video, RFID and process step notification ",Brian Janssen,Brian Janssen,2017-8-3,2020-4-27,2022-4-19,2022-4-19,https://patents.google.com/patent/US11305889B2/en,https://patentimages.storage.googleapis.com/df/9e/0f/c466903f741b7d/US11305889-20220419-D00000.png
US-2021081553-A1,Management of drone operations and security in a pervasive computing environment ,"Lens Ventures, Llc","Tara Lemmey, Stanislav Vonog",2014-2-21,2020-11-13,2021-3-18,,https://patents.google.com/patent/US20210081553A1/en,https://patentimages.storage.googleapis.com/17/08/c0/eac38961a7cf4a/US20210081553A1-20210318-D00000.png
US-11524596-B2,"Monitoring system, base station and control method of a drone ",Coretronic Intelligent Robotics Corporation,"Hsu-Chih Cheng, Ying-Chieh Chen, Chi-Tong Hsieh, I-Ta Yang",2018-7-2,2019-5-2,2022-12-13,2022-12-13,https://patents.google.com/patent/US11524596B2/en,https://patentimages.storage.googleapis.com/79/e0/20/31c0fa2ee5b039/US11524596-20221213-D00000.png
US-11009866-B2,Drone controller ,This Is Engineering Inc.,YooJung Hong,2015-9-4,2019-1-7,2021-5-18,2021-5-18,https://patents.google.com/patent/US11009866B2/en,https://patentimages.storage.googleapis.com/ff/e3/65/b7534ec494220c/US11009866-20210518-D00000.png
US-11042168-B2,Drone sourced content authoring using swarm attestation ,Intel Corporation,"Ned M. Smith, Rajesh Poornachandran",2015-9-24,2019-3-8,2021-6-22,2021-6-22,https://patents.google.com/patent/US11042168B2/en,https://patentimages.storage.googleapis.com/81/32/74/7a6aaff0cabfc3/US11042168-20210622-D00000.png
US-10759532-B2,Drone capture aerial vehicles and methods of using the same ,Hanhui Zhang,Hanhui Zhang,2017-10-18,2017-12-21,2020-9-1,2020-9-1,https://patents.google.com/patent/US10759532B2/en,https://patentimages.storage.googleapis.com/17/fc/50/e789257cafdacb/US10759532-20200901-D00000.png
US-10497270-B2,Systems and methods for managing drone access ,Qualcomm Incorporated,Michael Franco Taveira,2015-1-29,2017-9-1,2019-12-3,2019-12-3,https://patents.google.com/patent/US10497270B2/en,https://patentimages.storage.googleapis.com/fb/b7/b3/ea776bb606aa0a/US10497270-20191203-D00000.png
US-2022397917-A1,Systems and methods for 3d model based drone flight planning and control ,"Netdrones, Inc.","Matthew Laurence Arksey, Deon BLAAUW, Lucas Thomas HAHN, John Gordon MCQUEEN, Satoshi Nakajima, Guy David Byron Shefner, Richard Chia Tsing Tong",2021-6-11,2022-6-10,2022-12-15,,https://patents.google.com/patent/US20220397917A1/en,https://patentimages.storage.googleapis.com/26/b6/73/f646e9691d1ac1/US20220397917A1-20221215-D00000.png
EP-3500086-B1,System and method for drone fleet management for harvesting and dilution ,Tevel Aerobotics Technologies Ltd,Yaniv Maor,2016-8-18,2017-8-17,2023-7-26,2023-7-26,https://patents.google.com/patent/EP3500086B1/en,https://patentimages.storage.googleapis.com/15/7f/35/74a3aa614030e2/imgf0001.png
US-10112728-B2,Drone charging stations ,Michael Steward Evans,Michael Steward Evans,2016-9-9,2018-4-10,2018-10-30,2018-10-30,https://patents.google.com/patent/US10112728B2/en,https://patentimages.storage.googleapis.com/7c/76/7a/c190beb5bd2248/US10112728-20181030-D00000.png
US-11212964-B2,Method of controlling an automated drone for harvesting produce ,Amrita Vishwa Vidyapeetham,Rao R. Bhavani,2015-10-5,2019-9-6,2022-1-4,2022-1-4,https://patents.google.com/patent/US11212964B2/en,https://patentimages.storage.googleapis.com/37/5f/af/0e0d890ea46f4d/US11212964-20220104-D00000.png
US-10915118-B2,System and method to operate a drone ,International Business Machines Corporation,"Gregory F. Boland, James R. Kozloski, Yu Ma, Justin G. Manweiler, Kevin E. Siemonsen, Umut Topkara, Katherine Vogt, Justin D. Weisz",2015-12-8,2019-12-23,2021-2-9,2021-2-9,https://patents.google.com/patent/US10915118B2/en,https://patentimages.storage.googleapis.com/81/cc/da/5bf35414c2ea4a/US10915118-20210209-D00000.png
US-2020213578-A1,Drone based capture of multi-view interactive digital media ,"Fyusion, Inc.","Stefan Johannes Josef HOLZER, Stephen David Miller, Radu Bogdan Rusu",2015-7-15,2020-3-9,2020-7-2,,https://patents.google.com/patent/US20200213578A1/en,https://patentimages.storage.googleapis.com/77/92/71/4b4e99607949d3/US20200213578A1-20200702-D00000.png
US-11556887-B2,"Systems, devices, and/or methods for managing drone deliveries ",Drone Delivery Systems Corporation,Brandon Thomas Pargoe,2015-12-7,2018-8-3,2023-1-17,2023-1-17,https://patents.google.com/patent/US11556887B2/en,https://patentimages.storage.googleapis.com/f2/02/88/8fba74b664b553/US11556887-20230117-D00000.png
US-2021399792-A1,System For Transmitting Commands And A Video Stream Between A Remote Controlled Machine Such As A Drone And A Ground Station ,Uavia,Clément CHRISTOMANOS,2015-3-2,2021-9-3,2021-12-23,,https://patents.google.com/patent/US20210399792A1/en,https://patentimages.storage.googleapis.com/e7/6d/3d/92313e64e23abf/US20210399792A1-20211223-D00000.png
US-11698260-B2,Emergency drone guidance device ,Alarm.Com Incorporated,Babak Rezvani,2017-1-10,2021-7-7,2023-7-11,2023-7-11,https://patents.google.com/patent/US11698260B2/en,https://patentimages.storage.googleapis.com/08/fb/e2/11e3ea8fb19c45/US11698260-20230711-D00000.png
US-11724784-B2,Submersible drone devices and systems ,Gooch's Beach Drone Company,Daniel Justin Fiorello,2017-8-29,2021-6-28,2023-8-15,2023-8-15,https://patents.google.com/patent/US11724784B2/en,https://patentimages.storage.googleapis.com/80/de/0f/f5a7de4a0f9c2f/US11724784-20230815-D00000.png
US-11190032-B2,Automated drone charging station ,Telefonaktiebolaget Lm Ericsson (Publ),"Reza Farrahi Moghaddam, Fereydoun FARRAHI MOGHADDAM, Yves Lemieux, Denis Monette",2016-10-28,2017-10-27,2021-11-30,2021-11-30,https://patents.google.com/patent/US11190032B2/en,https://patentimages.storage.googleapis.com/04/88/5d/27af33a041a4ad/US11190032-20211130-D00000.png
US-11183072-B2,Drone carrier ,Nec Corporation,"Jeanette L. Blomberg, Eric K. Butler, Anca A. Chandra, Pawan R. Chowdhary, Thomas D. Griffin, Divyesh Jadav, Shun Jiang, Sunhwan Lee, Robert J. Moore, Hovey R. Strong, Jr., Chung-Hao Tan",2016-3-8,2018-4-10,2021-11-23,2021-11-23,https://patents.google.com/patent/US11183072B2/en,https://patentimages.storage.googleapis.com/8c/54/71/def768d92efeba/US11183072-20211123-D00000.png
US-10884433-B2,Aerial drone utilizing pose estimation ,Nec Corporation,"Quoc-Huy Tran, Manmohan Chandraker, Hyo Jin Kim",2017-8-28,2018-8-10,2021-1-5,2021-1-5,https://patents.google.com/patent/US10884433B2/en,https://patentimages.storage.googleapis.com/3c/42/38/9b5a64baa868b5/US10884433-20210105-D00000.png
