Title,Author,Citation,PMID,Free Access,Abstract
"
Drone-Robot to Clean Power Line Insulators.
              
            ","Gonçalves RS, De Oliveira M, Rocioli M, Souza F, Gallo C, Sudbrack D, Trautmann P, Clasen B, Homma R.",<built-in method split of str object at 0x000001D3E2435920>,37420696,Yes,"
              This paper presents the development of a drone-robot for cleaning insulator chains. The drone-robot was designed to identify insulators by camera and perform cleaning through a robotic module. This module is attached to the drone and carries a battery-powered …
            "
"
              
                Applications of drone in disaster management: A scoping review.
              
            ","Mohd Daud SMS, Mohd Yusof MYP, Heo CC, Khoo LS, Chainchel Singh MK, Mahmood MS, Nawawi H.",<built-in method split of str object at 0x000001D3E2490F30>,35033326,Yes,"
              Potential application of drones in disaster are broad. Based on articles identified, drone application in disasters are classified into four categories; (1) mapping or disaster management which has shown the highest contribution, (2) search and rescue, (3) transport …
            "
"
Drone Applications for Emergency and Urgent Care: A Systematic Review.
              
            ","Sanz-Martos S, López-Franco MD, Álvarez-García C, Granero-Moya N, López-Hens JM, Cámara-Anguita S, Pancorbo-Hidalgo PL, Comino-Sanz IM.",<built-in method split of str object at 0x000001D3E2427230>,35678389,Yes,"
              STUDY OBJECTIVE: This study aims to identify the available evidence on the use of drones in emergency health care compared to traditional health care. ...In addition, drones reduced the time required to locate the victim. CONCLUSIONS: Drones are an element to …
            "
"
Drone technology in maternal healthcare in Malaysia: A narrative review.
              
            ","Zailani MAH, Raja Sabudin RZA, Abdul Rahman R, Mohd Saiboon I, Ismail A, Mahdy ZA.",<built-in method split of str object at 0x000001D3E24A9C30>,34448789,Yes,"
              The search was performed in ScienceDirect, PubMed, and EMBASE databases, using a combination of search terms related to drones, Unmanned Aerial Vehicles (UAV), Unmanned Aerial Systems (UAS), maternal, obstetric, healthcare, medical products tran …
            "
"
Drone transport of biological samples: an open issue.
              
            ",Plebani M.,<built-in method split of str object at 0x000001D3E247AB50>,34318652,Yes,"
"
"
Drone Observation for the Quantitative Study of Complex Multilevel Societies.
              
            ","Maeda T, Yamamoto S.",<built-in method split of str object at 0x000001D3E2481A70>,37370421,Yes,"
Unmanned aerial vehicles (drones) have recently been used in various behavioral ecology studies. ...Drones made it possible to obtain the identification, accurate positioning, or movement of more than a hundred individuals in a multilevel social group. …
            "
"
Drone Detection and Defense Systems: Survey and a Software-Defined Radio-Based Solution.
              
            ","Chiper FL, Martian A, Vladeanu C, Marghescu I, Craciunescu R, Fratu O.",<built-in method split of str object at 0x000001D3E2455BD0>,35214355,Yes,"
              With the decrease in the cost and size of drones in recent years, their number has also increased exponentially. ...The necessity of designing and implementing systems that are able to detect and provide defense actions against such threats has become apparent. In this pap …
            "
"
Drone technology in municipal solid waste management and landfilling: A comprehensive review.
              
            ","Sliusar N, Filkin T, Huber-Humer M, Ritzkowski M.",<built-in method split of str object at 0x000001D3E24AA330>,34923184,No,"
              The paper discusses the experience of using unmanned aerial vehicles (UAV) in the management of municipal solid waste landfills and dumpsites. Although the use of drones at waste disposal sites (WDS) has a more than ten-year history, the active application of …
            "
"
Drone-Based Water Level Detection in Flood Disasters.
              
            ","Rizk H, Nishimur Y, Yamaguchi H, Higashino T.",<built-in method split of str object at 0x000001D3E30B8140>,35010497,Yes,"
              This paper presents a water level detection system based on aerial drone-based image recognition. The system applies the R-CNN learning model together with a novel labeling method on the reference objects, including houses and cars. ...
            "
"
Drone Detection and Classification Using Physical-Layer Protocol Statistical Fingerprint.
              
            ","Morge-Rollet L, Le Jeune D, Le Roy F, Canaff C, Gautier R.",<built-in method split of str object at 0x000001D3E24AA430>,36081160,Yes,"
              We propose a novel approach for drone detection and classification based on RF communication link analysis. ...Furthermore, the classification method allows us to distinguish WiFi drones from other WiFi devices due to underlying requirement of drone co …
            "
"
Drone a technological leap in health care delivery in distant and remote inaccessible areas: A narrative review.
              
            ","Sharma S, Sharma H.",<built-in method split of str object at 0x000001D3E2479F20>,38313723,Yes,"
              However, the carrying capacity of drone is less, it is not able to carry heavier payloads. Also, operating drones requires trained operators, and it is a new venture in a developing country so possibilities of confusion and lack of clarity on operating procedures ar …
            "
"
Drone versus ambulance for blood products transportation: an economic evaluation study.
              
            ","Zailani MA, Azma RZ, Aniza I, Rahana AR, Ismail MS, Shahnaz IS, Chan KS, Jamaludin M, Mahdy ZA.",<built-in method split of str object at 0x000001D3E2401DE0>,34863156,Yes,"
              The Cost-Effectiveness Ratio (CER) of ambulance transportation was RM37.23 (USD9.05) per minute whilst the CER of drone transportation was RM72.96 (USD17.74) per minute. The ICER of drone versus ambulance was - 2.95, implying an increase of RM2.95 in cost for every …
            "
"
              
                Requirements for Drone Operations to Minimise Community Noise Impact.
              
            ","Ramos-Romero C, Green N, Roberts S, Clark C, Torija AJ.",<built-in method split of str object at 0x000001D3E24716B0>,35954654,Yes,"
              The number of applications for drones under R&D have growth significantly during the last few years; however, the wider adoption of these technologies requires ensuring public trust and acceptance. ...It is considered that with further refinement, this modelling framew …
            "
"
Drone Model Classification Using Convolutional Neural Network Trained on Synthetic Data.
              
            ","Wisniewski M, Rana ZA, Petrunin I.",<built-in method split of str object at 0x000001D3E24818B0>,36005461,Yes,"
              We present a convolutional neural network (CNN) that identifies drone models in real-life videos. The neural network is trained on synthetic images and tested on a real-life dataset of drone videos. ...Three common drone models are classified: DJI Phantom, DJ …
            "
"
Drone Controller Localization Based on RSSI Ratio.
              
            ","Wang Y, Zeng Y, Sun S, Tan PH, Ma Y, Kurniawan E.",<built-in method split of str object at 0x000001D3E2479C50>,37299889,Yes,"
              We proposed two methods for the localization of drone controllers based on received signal strength indicator (RSSI) ratios: the RSSI ratio fingerprint method and the model-based RSSI ratio algorithm. ...Our methods provide a robust and effective solution for the localizat …
            "
"
              
                Defibrillation for out-of-hospital cardiac arrest. Year of the drone?
              
            ",Smith CM.,<built-in method split of str object at 0x000001D3E2479B60>,35090969,No,"
"
"
Drone Laying Honey Bee Workers in Queen Monitoring Cages.
              
            ","Fine JD, Litsey EM.",<built-in method split of str object at 0x000001D3E32BE3F0>,35703425,Yes,"
              However, although the conditions required to facilitate queen egg production in a laboratory setting have been established, limited work has addressed the requirements for stimulating and monitoring worker egg laying. Here, we documented that drone laying workers will lay …
            "
"
              
                Countering a Drone in a 3D Space: Analyzing Deep Reinforcement Learning Methods.
              
            ","Çetin E, Barrado C, Pastor E.",<built-in method split of str object at 0x000001D3E24A8630>,36433460,Yes,"
Unmanned aerial vehicles (UAV), also known as drones have been used for a variety of reasons and the commercial drone market growth is expected to reach remarkable levels in the near future. ...There are various counter-drone methods available i …
            "
"
              
                Chemotherapy delivery service by drone lifts off.
              
            ",Shepherd A.,<built-in method split of str object at 0x000001D3E243BEC0>,35820688,No,"
"
"
              
                A dataset for multi-sensor drone detection.
              
            ","Svanström F, Alonso-Fernandez F, Englund C.",<built-in method split of str object at 0x000001D3E2471A10>,34765710,Yes,"
              The use of small and remotely controlled unmanned aerial vehicles (UAVs), referred to as drones, has increased dramatically in recent years, both for professional and recreative purposes. ...Given that the drones must be flown within visual range due t …
            "
"
              
                Human drone interaction in delivery of medical supplies: A scoping review of experimental studies.
              
            ","Stephan F, Reinsperger N, Grünthal M, Paulicke D, Jahn P.",<built-in method split of str object at 0x000001D3E2402170>,35482656,Yes,"
              BACKGROUND: The COVID-19 pandemic, ageing populations and the increasing shortage of skilled workers pose great challenges for the delivery of supplies for people with and without care needs. The potential of drones, as unmanned air vehicles, in healthcare are huge …
            "
"
              
                Apartheid drone: Infrastructures of militarism and the hidden genealogies of the South African Seeker.
              
            ",Chandler K.,<built-in method split of str object at 0x000001D3E05E17C0>,35833219,No,"
              In the 1980s and 1990s, South Africa was considered a global leader in the development of unmanned aircraft largely because of the Seeker, a drone created by the state-controlled armaments industry during apartheid. This article examines how military power, state-en …
            "
"
              
                Simulation-Based Drone Assisted Search Operations in a River.
              
            ","Cicek M, Pasli S, Imamoglu M, Yadigaroglu M, Beser MF, Gunduz A.",<built-in method split of str object at 0x000001D3E2471B30>,35843856,No,"
              There are few simulation studies in which drones provided rescue support. However, the literature does not contain any simulation studies involving the use of drones to locate lost ""victims"" represented by dummies in rivers. ...The use of drones in search and …
            "
"
Drone-Fleet-Enabled Logistics: A Joint Design of Flight Trajectory and Package Delivery.
              
            ","Jia Y, Zhang Y, Luo K, Wen W.",<built-in method split of str object at 0x000001D3E24833D0>,35459039,Yes,"
              In this work, we focus on a drone-fleet-enabled package delivery scenario, in which multiple drones fly from a start point and cooperatively deliver packages to the ground users in the presence of a number of no-fly zones (NFZs). ...Then, a package value maximizatio …
            "
"
              
                Optimizing a Drone Network to Respond to Opioid Overdoses.
              
            ","Cox DJ, Ye JJ, Zhang C, Van Vleet L, Nickenig Vissoci JR, Buckland DM.",<built-in method split of str object at 0x000001D3E3466450>,37788021,Yes,"
              Genetic optimization was then used to maximize county coverage by drones and the number of overdoses covered per drone base. From this model, we identified base locations that minimize response time and the number of drone bases required. Results: In a dro …
            "
"
Drone-based physiological index reveals long-term acclimation and drought stress responses in trees.
              
            ","D'Odorico P, Schönbeck L, Vitali V, Meusburger K, Schaub M, Ginzler C, Zweifel R, Velasco VME, Gisler J, Gessler A, Ensminger I.",<built-in method split of str object at 0x000001D3E23834B0>,34462922,Yes,"
              Monitoring early tree physiological responses to drought is key to understanding progressive impacts of drought on forests and identifying resilient species. We combined drone-based multispectral remote sensing with measurements of tree physiology and environmental paramet …
            "
"
              
                Defending Airports from UAS: A Survey on Cyber-Attacks and Counter-Drone Sensing Technologies.
              
            ","Lykou G, Moustakas D, Gritzalis D.",<built-in method split of str object at 0x000001D3E247A6A0>,32580402,Yes,"
              As the fastest growing segment of aviation, unmanned aerial systems (UAS) continue to increase in number, technical complexity and capabilities. ...In this paper, we present a survey of drone incidents near airports and a literature review of sensor technolog …
            "
