Title,Author,Citation,PMID,Free Access,Abstract,url_article
"
Drone-Robot to Clean Power Line Insulators.
              
            ","Gonçalves RS, De Oliveira M, Rocioli M, Souza F, Gallo C, Sudbrack D, Trautmann P, Clasen B, Homma R.",<built-in method split of str object at 0x000001C405181920>,37420696,Yes,"
              This paper presents the development of a drone-robot for cleaning insulator chains. The drone-robot was designed to identify insulators by camera and perform cleaning through a robotic module. This module is attached to the drone and carries a battery-powered …
            ",https://pubmed.ncbi.nlm.nih.gov/37420696/
"
              
                Applications of drone in disaster management: A scoping review.
              
            ","Mohd Daud SMS, Mohd Yusof MYP, Heo CC, Khoo LS, Chainchel Singh MK, Mahmood MS, Nawawi H.",<built-in method split of str object at 0x000001C4051DCF30>,35033326,Yes,"
              Potential application of drones in disaster are broad. Based on articles identified, drone application in disasters are classified into four categories; (1) mapping or disaster management which has shown the highest contribution, (2) search and rescue, (3) transport …
            ",https://pubmed.ncbi.nlm.nih.gov/35033326/
"
Drone Applications for Emergency and Urgent Care: A Systematic Review.
              
            ","Sanz-Martos S, López-Franco MD, Álvarez-García C, Granero-Moya N, López-Hens JM, Cámara-Anguita S, Pancorbo-Hidalgo PL, Comino-Sanz IM.",<built-in method split of str object at 0x000001C405177230>,35678389,Yes,"
              STUDY OBJECTIVE: This study aims to identify the available evidence on the use of drones in emergency health care compared to traditional health care. ...In addition, drones reduced the time required to locate the victim. CONCLUSIONS: Drones are an element to …
            ",https://pubmed.ncbi.nlm.nih.gov/35678389/
"
Drone technology in maternal healthcare in Malaysia: A narrative review.
              
            ","Zailani MAH, Raja Sabudin RZA, Abdul Rahman R, Mohd Saiboon I, Ismail A, Mahdy ZA.",<built-in method split of str object at 0x000001C4051FDC30>,34448789,Yes,"
              The search was performed in ScienceDirect, PubMed, and EMBASE databases, using a combination of search terms related to drones, Unmanned Aerial Vehicles (UAV), Unmanned Aerial Systems (UAS), maternal, obstetric, healthcare, medical products tran …
            ",https://pubmed.ncbi.nlm.nih.gov/34448789/
"
Drone transport of biological samples: an open issue.
              
            ",Plebani M.,<built-in method split of str object at 0x000001C4051C6B50>,34318652,Yes,"
",https://pubmed.ncbi.nlm.nih.gov/34318652/
"
Drone Observation for the Quantitative Study of Complex Multilevel Societies.
              
            ","Maeda T, Yamamoto S.",<built-in method split of str object at 0x000001C4051CDA70>,37370421,Yes,"
Unmanned aerial vehicles (drones) have recently been used in various behavioral ecology studies. ...Drones made it possible to obtain the identification, accurate positioning, or movement of more than a hundred individuals in a multilevel social group. …
            ",https://pubmed.ncbi.nlm.nih.gov/37370421/
"
Drone Detection and Defense Systems: Survey and a Software-Defined Radio-Based Solution.
              
            ","Chiper FL, Martian A, Vladeanu C, Marghescu I, Craciunescu R, Fratu O.",<built-in method split of str object at 0x000001C4051A1BD0>,35214355,Yes,"
              With the decrease in the cost and size of drones in recent years, their number has also increased exponentially. ...The necessity of designing and implementing systems that are able to detect and provide defense actions against such threats has become apparent. In this pap …
            ",https://pubmed.ncbi.nlm.nih.gov/35214355/
"
Drone technology in municipal solid waste management and landfilling: A comprehensive review.
              
            ","Sliusar N, Filkin T, Huber-Humer M, Ritzkowski M.",<built-in method split of str object at 0x000001C4051FE330>,34923184,No,"
              The paper discusses the experience of using unmanned aerial vehicles (UAV) in the management of municipal solid waste landfills and dumpsites. Although the use of drones at waste disposal sites (WDS) has a more than ten-year history, the active application of …
            ",https://pubmed.ncbi.nlm.nih.gov/34923184/
"
Drone-Based Water Level Detection in Flood Disasters.
              
            ","Rizk H, Nishimur Y, Yamaguchi H, Higashino T.",<built-in method split of str object at 0x000001C405E18140>,35010497,Yes,"
              This paper presents a water level detection system based on aerial drone-based image recognition. The system applies the R-CNN learning model together with a novel labeling method on the reference objects, including houses and cars. ...
            ",https://pubmed.ncbi.nlm.nih.gov/35010497/
"
Drone Detection and Classification Using Physical-Layer Protocol Statistical Fingerprint.
              
            ","Morge-Rollet L, Le Jeune D, Le Roy F, Canaff C, Gautier R.",<built-in method split of str object at 0x000001C4051FE430>,36081160,Yes,"
              We propose a novel approach for drone detection and classification based on RF communication link analysis. ...Furthermore, the classification method allows us to distinguish WiFi drones from other WiFi devices due to underlying requirement of drone co …
            ",https://pubmed.ncbi.nlm.nih.gov/36081160/
